Work、、、Chateau d'Argy、、、2018 - Present、、、Brookville Area School District、、、Assistant Softball Coach、、、March 2018 - Present,Education、、、PennWest Clarion、、、College、、、Brookville Area School District、、、High school,"December 11, 1982","Sigel, Pennsylvania",Male
Work、、、Self-Employed、、、costumière,"Education、、、Cal State University Bakersfield、、、Theater Arts、、、West High School, Bakersfield, CA、、、High school、、、Class of 1995",,"Bakersfield, California",Male
"Work、、、U.S. Army Retired, Medical Retirement、、、August 31, 2020 to present、、、HHC, 159 Aviation Group、、、S4 NCOIC、、、82nd Airborne Division Sustainment Brigade、、、92Y Supply Sergeant、、、44th Medical Brigade、、、92Y Supply SGT、、、121 Hospital、、、Supply Sergeant","Education、、、Southern University and A&M College - Baton Rouge, LA、、、College、、、Bogalusa High School、、、High school","February 12, 1979","Bogalusa, Louisiana",Male
"Work、、、QinetiQ US、、、Field Service Technician、、、March 6, 2021 - Present、、、Lapeer, Michigan、、、A bunch of cool stuff with Robots, Machine guns, drones, probably explosions, and beef jerky.、、、AECOM、、、Training and Curriculum Specialist、、、September 12, 2016 - Present、、、Mount Clemens, Michigan",Education、、、Burlington Community High School、、、High school,,"Burlington, Iowa",Male
Work、、、U.S. Army、、、2002 - 2019,Education、、、University of North Texas、、、College、、、2019 - Present、、、Central Texas College、、、College、、、Class of 2013、、、Sylvania Southview、、、High school、、、Class of 1998,,"Sylvania, Ohio",Male
Work、、、Stukent、、、Director of Algorithms、、、October 2021 - Present,"Education、、、Indiana University、、、MBA、、、Class of 2014、、、BYU、、、Bachelor of Science in Business Administration、、、Class of 2007、、、Skyline High School, Idaho、、、High school",,,Male
"Work、、、Jabil Guadalajara、、、March 28, 2019 - Present、、、Biofarma Natural、、、November 5, 2018 - Present",Education、、、Funny、、、College、、、Urbi Villa del Alamo、、、High school、、、estudioso、、、secundaria tecnica no. 47、、、High school、、、chida、、、 ,,"Tijuana, Baja California",Male
"Work、、、Jensen Elledge Dental,  LLC、、、Dental Assistant (DA)、、、November 29, 2018 - Present",Education、、、Santa Fe Community College (NM)、、、Dental Assisting、、、Class of 2017、、、Capital High School、、、High school、、、Class of 2015,,"Santa Fe, New Mexico",Female
,"Education、、、Mississippi State University、、、College、、、July 31, 2020 - Present、、、Eupora High School、、、High school、、、Class of 2020",September 4,"Bellefontaine, Mississippi",Female
Work、、、Walmart Supercenter,Education、、、Northern Illinois University、、、Business Administration、、、 · 、、、Business management、、、Class of 2019、、、Naperville North High School、、、High school、、、Class of 2005,,"Lombard, Illinois",Female
Work、、、Costco,Education、、、Martin Luther King High School、、、Graduate School、、、Dr. Martin Luther King Jr. H.S.、、、High school,,"Riverside, California",Female
,,January 29,"El Centro, California",Male
Work、、、Miss California USA 2012、、、KURS 1040Am Radio、、、On Air,Education、、、Eastlake High、、、High school,,"San Diego, California",Female
Work、、、Aeropostale,"Education、、、The University of Alabama、、、College、、、Aliceville, Alabama、、、High school",,"Aliceville, Alabama",Male
Work、、、Aeropostale,"Education、、、The University of Alabama、、、College、、、Aliceville, Alabama、、、High school",,"Aliceville, Alabama",Male
"Work、、、Soy Una Princesa Y Las Princesas No Trabajan、、、June 2, 2020 - Present",,August 5,"El Centro, California",
"Work、、、Pepboys、、、Mechanical Technician、、、August 31, 2022 - Present、、、Willow Grove、、、GST、、、Walmart、、、Stocker、、、August 19, 2020 - April 19, 2022",Education、、、Abington School District、、、High school、、、Class of 2022,,"Milford, Delaware",Male
"Work、、、Third Street Music School Settlement、、、Violin Teacher、、、September 14, 2017 - Present、、、New York, New York",Education、、、New York University、、、College、、、2014 - Present、、、UNCo、、、Music Performance、、、 · 、、、Violin、、、Class of 2013、、、University of Northern Colorado、、、College,,"Greeley, Colorado",Female
,Education、、、Imperial Valley College、、、College、、、Central Union High、、、High school,"August 23, 2000","El Centro, California",Female
"Work、、、University of Michigan、、、LMT -ASPC Microbiology/virology、、、November 30, 2019 to present",Education、、、University of Michigan、、、College,,"Detroit, Michigan",Female
Work、、、Laborers Local 1445、、、Laborers Local #189,Education、、、Morehead State University、、、College、、、East Carter County High School、、、High school,,"Grayson, Kentucky",Male
Work、、、AJ's Lawn Service,,"January 31, 1994","Glen Burnie, Maryland",Male
"Work、、、Demolition Specialist、、、November 25, 2019 to present",Education、、、John Marshall High School、、、High school、、、Lincoln-West High School、、、High school,,"Kissimmee, Florida",Male
Work、、、Cushman & Wakefield、、、Sr. Chief Engineer,,May 9,,Male
Work、、、Verizon Communications,Education、、、School of Hard Knocks、、、College,,"Boston, Massachusetts",Male
"Work、、、Valley Mechanical Inc.、、、Assistant Project Manager、、、October 1, 2016 - Present",Education、、、Chattanooga State Community College、、、Industrial Drafting & Design、、、GNTC、、、AEMT、、、Class of 2017、、、Gordon Lee High、、、High school、、、2016、、、 、、、 ,,"Chickamauga, Georgia",Male
"Work、、、Baked Kitchen、、、Creator、、、April 15, 2019 - Present、、、Atlanta, Georgia、、、Johnny's Hideaway、、、August 25, 2018 - Present、、、The Brü's、、、Creator/Owner、、、2017 - Present、、、Atlanta, Georgia、、、We Got Da Dehydrated Meats ","Education、、、The Art Institute of Atlanta、、、Culinary Arts、、、February 9, 2017 - June 9, 2018、、、Associates","February 22, 1991","Atlanta, Georgia",
"Work、、、Austin Industrial、、、Millwright Apprentice、、、December 15, 2022 - Present、、、2ND Chance lifters、、、Personal Trainer、、、June 14, 2018 to present、、、It my passion to get those who wanna get in shape to reach there weight goal and become the best them they can be.",Education、、、Dallas College Richland Campus、、、College、、、Eisenhower High School、、、College、、、Eisenhower High School、、、High school,,"Decatur, Illinois",Male
Work、、、Self-Employed,Education、、、University of Mumbai、、、College、、、Father Agnel High School、、、High school,"July 4, 1986","Tustin, California",Male
"Work、、、TD Garden、、、Concessions Stand Attendant、、、September 2008 - Present、、、BJ's Wholesale、、、Receiving、、、July 1986 - Present、、、Medford, Massachusetts、、、Td banknorth garden、、、BJ's Wholesale Club",Education、、、Saint Clement High School、、、High school、、、Class of 1985,,"Medford, Massachusetts",Male
"Work、、、Pewamo Westphalia High School、、、July 19, 2021 to present、、、Coldwater High School、、、High School English Teacher、、、August 12, 2018 to June 30, 2021、、、GVSU School of Engineering","Education、、、Western Michigan University、、、College、、、Class of 2022、、、Grand Valley State University、、、College、、、St. Patrick High School Portland, MI、、、High school",,"Flushing, Michigan",Female
"Work、、、Performance Kings Honda、、、Sales Consultant、、、May 2, 2022 - Present、、、New / Used Pre Owned Car Sales",Education、、、Northwest High School、、、High school,,,Male
"Work、、、Amazon Logistics、、、December 1, 2020 to present",Education、、、Branham High School、、、High school、、、Class of 2016,,"San Jose, California",Male
"Work、、、Retired.、、、November 17, 2022 - Present",Education、、、Diablo Valley College (DVC)、、、College、、、Pittsburg Senior High、、、High school、、、Class of 1972、、、1972、、、 、、、 、、、Carlisle、、、High school,,"Fairmont, West Virginia",Male
"Work、、、Howard Hanna Rand Realty、、、Associate Broker、、、2005 - Present、、、Pine Bush, New York、、、Wakefern Food Corp、、、August 1985 - August 2005",Education、、、Cornell University、、、College、、、Class of 1976、、、Pine Bush High School、、、High school,,"Pine Bush, New York",Male
"Work、、、Alan Ross Photography、、、Master Photographer, Educator、、、1969 - Present、、、Santa Fe, New Mexico",Education、、、UC Berkeley、、、Photography、、、 · 、、、Mechanical engineering、、、 · 、、、Photography on Facebook、、、 · 、、、Forestry、、、Class of 1971、、、Tamalpais High、、、High school、、、Class of 1966,,"Sausalito, California",Male
"Work、、、Pickard Design Studio、、、Interior Designer、、、August 8, 2022 - Present、、、Flick•Mars、、、junior designer、、、July 6, 2021 - 2022",Education、、、University of North Texas、、、College、、、Class of 2021、、、Royse City High School、、、High school、、、2012 - 2016,,"Dallas, Texas",Male
"Work、、、NSSA、、、February 25, 2022 - Present、、、North Shore Sports Academy LLC/ Football division、、、Owner and Operator、、、2015 - Present、、、North Shore Sports Academy LLC/ Magic AAU Basketball、、、Owner and Founder、、、North Shore Sports Academy LLC/ Skills,Drills and Personal training、、、Owner and Operator、、、NSSA、、、Owner and Operator、、、Lynn, Massachusetts、、、Teaching kids the basics of Sports, to give them an competitive edge not only on the field but off.、、、JetBlue、、、Well Rounded","Education、、、The Rectory School、、、High school、、、September 2, 1997 - 2000",,"Lynn, Massachusetts",Male
Work、、、GIANI VERSACE,Education、、、Universitatea din București、、、College,,"New York, New York",Male
Work、、、Retired,Education、、、Institute of Fine Art & Commercial Art Bhutan、、、College、、、East Boston High School、、、High school,,"Boston, Massachusetts",Male
Work、、、Imperial County Office of Education、、、city employee、、、Heavy Equipment Operator、、、BAD ASS STREET SWEEPER、、、Self-Employed、、、Owner,Education、、、University of North Side、、、Barrio Enginuity、、、Central Union High School、、、High school、、、BOARED AS FUCK SO I LEFT,,"El Centro, California",Male
"Work、、、Phillipsburg High School、、、Janitor Custodian、、、August 14, 2021 - Present、、、2nd shift  for 33 years",Education、、、Phillipsburg Catholic High School、、、High school,,"Phillipsburg, New Jersey",Male
,,June 9,"Ridley, Pennsylvania",Male
"Work、、、U.S. Army、、、Ammunition Specialist- 89B、、、February 3, 2020 - Present","Education、、、Holloway High School、、、High school、、、Class of 2016、、、Piscataway Vo-Tech、、、High school、、、September 6, 2012 - June 16, 2015",December 24,"Edison, New Jersey",Male
"Work、、、Roost Cafe & Bistro、、、Former Owner-Operator sold Oct 2020、、、Cape Neddick, Maine、、、Simply Awesome - see website、、、Developing Gluten Free Items、、、 、、、with 、、、Sebastian Bartling、、、 ",Education、、、University of Massachusetts Boston、、、College、、、Roselle Park High School、、、High school、、、Class of 1973,,"Roselle Park, New Jersey",Male
"Work、、、United States Air Force、、、T-38C Instructor Pilot、、、December 31, 2022 to present",Education、、、U.S. Air Force Academy、、、College、、、Class of 2019、、、Commerce High School、、、High school,,"Commerce, Georgia",Male
"Work、、、Buffalo Wild Wings、、、Cashier、、、Forsyth, Illinois",Education、、、Argenta-Oreana CUSD #1 High School、、、High school,,"Pekin, Illinois",Male
"Work、、、Indeed、、、Senior Account executive、、、December 3, 2017 - Present、、、Stamford, Connecticut",Education、、、Southern Connecticut State University、、、Psychology、、、Class of 2013、、、Trumbull High School、、、High school、、、Class of 2009,,"Trumbull, Connecticut",Female
"Work、、、Siam Singapore International School、、、July 1, 2020 - Present、、、Tandy Law Firm, LLC、、、On February 24, 2018",Education、、、Indiana University、、、College、、、2011 - 2015,,"Charleston, Illinois",Female
"Work、、、Extended Stay America、、、Maintenance Engineer、、、August 3, 2022 - Present、、、Kennesaw, Georgia",Education、、、Chattahoochee Technical College、、、College、、、Carlton J. Kell High School、、、High school,,"Saginaw, Michigan",Male
"Work、、、Akin Gump Strauss Hauer & Feld、、、Attorney at Law、、、Los Angeles, California、、、International Law Firm、、、Paul Hastings、、、Attorney at Law、、、Los Angeles, California、、、International Law Firm",Education、、、University of Southern California Gould School of Law、、、Juris Doctor (J.D.)、、、Juris Doctor (J.D.)、、、Law School、、、UCLA、、、Business Economics,,"Los Angeles, California",Male
"Work、、、wtf do you care ��、、、�、、、June 29, 2018 - Present、、、The Krusty Krab、、、Foot Locker",Education、、、Delano high school、、、High school、、、2013 - Present,,"Delano, California",Male
Work、、、Computerized Machining Concepts、、、machinist,Education、、、New Iberia Senior High School、、、High school、、、Class of 2014,,"New Iberia, Louisiana",Male
"Work、、、San Diego Unified School District、、、History Teacher、、、August 8, 2022 - Present、、、Sierra Canyon School、、、Teacher’s assistant、、、2018 - Present、、、Sierra Canyon Day Camp、、、Counselor、、、Chatsworth","Education、、、California State University, Northridge、、、Teaching Credential Secondary Arts Education、、、Class of 2022、、、San Diego State University、、、College、、、Class of 2020、、、El Camino Real High School、、、High school",,"Los Angeles, California",Male
"Work、、、Southern Industrial Contractors LLC、、、Electrcian、、、January 4, 2021 to present、、、ISC Constructors LLC、、、Electrician、、、March 22, 2019 - Present、、、Lake Charles, Louisiana",Education、、、UTRGV - The University of Texas Rio Grande Valley、、、College、、、Edinburg North High School、、、High school,,"McAllen, Texas",Male
"Work、、、Rural King Supply (260 Plaza Dr, Clearfield, PA 16830)、、、Firearm Specialist、、、July 10, 2018 - Present",Education、、、Curwensville Area School District、、、High school、、、Class of 2019,,"Curwensville, Pennsylvania",Male
,"Education、、、John F. Kennedy High School (Denver, Colorado)、、、High school",,"Littleton, Colorado",Male
Work、、、Evangelist/Gospel Preacher,"Education、、、Victory Education Training Institute、、、College、、、January 2005 - May 2014、、、CHULA VISTA PALOMAR、、、High school、、、June 6, 1993 - 1995",,"San Diego, California",Male
"Work、、、McCrady Inspections LLC、、、Owner/Operator、、、December 2022 - Present、、、A central Illinois Home Inspection company.、、、DynaGraphics Inc.、、、Production Scheduler、、、January 2021 - March 2022、、、Decatur Coffee Connection、、、November 6, 2018 - 2020、、、Decatur, Illinois、、、Decatur Brew Works、、、June 25, 2018 - August 29, 2020、、、Friar Tuck Beverage in Forsyth、、、Assistant Store Manager、、、June 2017 - June 24, 2018、、、Forsyth, Illinois、、、Culver's、、、Manager、、、September 28, 2012 - June 2017",Education、、、Richland Community College、、、College、、、August 2013 - Present,,"Decatur, Illinois",Male
Work、、、QDM Construction、、、Journeyman,Education、、、Clayton Valley High、、、High school,,"Concord, California",Male
"Work、、、Dover Millwork、、、April 9, 2023 - Present、、、Bath & Body Works、、、October 12, 2020 - Present、、、Teacher、、、March 7, 2022 - December 22, 2022",Education、、、Woodbridge Junior - Senior High、、、High school,,"Bridgeville, Delaware",Female
"Work、、、Model、、、Model、、、March 20, 2000 - Present、、、Moulin Rouge、、、Artist、、、January 1, 2000 - Present、、、Paris, France",Education、、、Paris-Sorbonne University、、、Sex、、、Class of 2010、、、Paris、、、Las Vegas High School、、、High school,,"Las Vegas, Nevada",Male
Work、、、Catholic Church、、、Amway,Education、、、Texas A&M University、、、College、、、Dexter Yager University、、、College、、、Homeschooled、、、High school,,"Austin, Texas",Male
"Work、、、Sedgwick County Fire District 1、、、January 30, 2020 - Present",Education、、、Hutch CC、、、College、、、Maize South High School、、、High school、、、Class of 2013,,"Wichita, Kansas",Male
"Work、、、The Mortgage Firm Lakeland - NMLS 189233、、、Setup/ Loan Partner、、、Lakeland, Florida、、、Setup/ Loan partner",,,"Tampa, Florida",Male
,Education、、、eastside high school paterson、、、High school、、、Class of 2007、、、High school,,"Santo Domingo, Dominican Republic",Male
Work、、、Stay at home mom、、、Ace Stable,Education、、、Saint Louis Community College Meremac、、、College、、、St. Louis Community College-Meramec、、、College、、、Maplewood - Richmond Heights High、、、High school、、、Class of 2011、、、McCluer North High、、、High school、、、Class of 2010,,"Florissant, Missouri",Female
"Work、、、CGI Federal、、、September 20, 2021 - Present","Education、、、William & Mary、、、College、、、Class of 2021、、、B.A. International Relations、、、 B.A. Italian Studies、、、 So proud to call W&M my alma mater! Thank you to all who helped me along the way 💚💛、、、Fairfax High School (Fairfax, Virginia)、、、High school、、、Class of 2017、、、Rocky Run Middle School、、、High school、、、2011 - 2013",,"Fairfax, Virginia",Female
"Work、、、Least、、、Bassist、、、June 19, 2022 to present、、、South Florida、、、Playing in a band with friends that have godlike musical skills 🤟🏿🤟🏿🤟🏿.",Education、、、AIU、、、College、、、Coconut Creek High School、、、High school、、、2013、、、 、、、 ,,"Pompano Beach, Florida",Male
"Work、、、Rochester City School District、、、Elementary School Counselor、、、September 6, 2022 - Present",Education、、、University of Rochester - Warner School of Education、、、Master's Degree in School Counseling、、、Class of 2021、、、Keuka College、、、Child and Family Studies、、、Class of 2019,,"Malone, New York",Female
"Work、、、Santa Rosa County School District、、、August 9, 2021 to present",Education、、、Georgia Gwinnett College、、、Early childhood education、、、Class of 2021、、、Cass High School、、、High school,,"Cartersville, Georgia",Female
,,September 23,"East Boston, Massachusetts",Female
"Work、、、Moe's Southwest Grill、、、Princess、、、March 15, 2015 to present","Education、、、Chartiers Valley High School、、、High school、、、Class of 2018、、、Hempfield Area High School、、、High school、、、August 20, 2014 - 2015",,"Hunker, Pennsylvania",Female
,,"August 31, 2001","Everett, Massachusetts",Female
"Work、、、The Ginger Tree daycare、、、Infant Teacher、、、May 1, 2021 - Present、、、EDISON PIZZA & ITALIAN RESTAURANT、、、Server",Education、、、Edison High School (New Jersey)、、、College、、、Class of 2016,,"Edison, New Jersey",Female
"Work、、、The Electric Jane、、、January 13, 2021 - Present、、、Nashville Tenessee","Education、、、Richland Community College、、、College、、、Macarthur High School, Decatur, IL、、、High school",,"Decatur, Illinois",Female
"Work、、、The Electric Jane、、、January 13, 2021 - Present、、、Nashville Tenessee","Education、、、Richland Community College、、、College、、、Macarthur High School, Decatur, IL、、、High school",,"Decatur, Illinois",Female
"Work、、、The Electric Jane、、、January 13, 2021 - Present、、、Nashville Tenessee","Education、、、Richland Community College、、、College、、、Macarthur High School, Decatur, IL、、、High school",,"Decatur, Illinois",Female
Work、、、Rooney's Oceanfront Restaurant、、、Thompson Healthcare & Sports Medicine,Education、、、Ocean County College、、、College,"February 18, 1989","Beachwood, New Jersey",Female
Work、、、PoleFreaks - Pole Dance & Fitness Community、、、February 2017 - Present,Education、、、Bakersfield College、、、College,"June 3, 1994","Merced, California",
,,"September 11, 1986","Philadelphia, Pennsylvania",Male
"Work、、、U.S. Army、、、Jeep, Truck, Tank and Generator Mechanic.、、、January 25, 1973 - Present、、、Fort Carson Co.、、、IBM","Education、、、Imperial Valley College、、、College、、、Class of 1981、、、Central Union High School El Centro, CA、、、High school、、、Class of 1973",,"El Centro, California",Male
Work、、、Strike Zone Bowling Center、、、Manager,Education、、、Huntington High School、、、High school、、、Class of 2005,,"Huntington, West Virginia",Female
"Work、、、Addiction Angel 646-404-0637 24/7、、、Owner、、、Staten Island, New York",Education、、、Staten Island、、、College、、、Class of 2006,,"New York, New York",Female
"Work、、、CPA Lab/Norton Healthcare、、、November 8, 2021 - Present、、、Norton Brownsboro Hospital、、、June 29, 2020 - Present、、、Louisville Metro Animal Services、、、Animal control service、、、July 21, 2019 - Present",Education、、、Murray State University、、、College、、、Class of 2018、、、Murray State University、、、Pre-Veterinary Medicine、、、2014 - Present、、、Jefferson Community and Technical College、、、College、、、2012 - Present、、、Butler Traditional High School、、、High school、、、Class of 2012,,"Louisville, Kentucky",Female
"Work、、、Berkshire Hathaway HomeServices Georgia Properties、、、October 16, 2018 - Present、、、Dunwoody, Georgia",Education、、、University of Florida、、、College、、、University of Florida、、、Business、、、Class of 1999、、、BABA、、、Fernandina Beach High School、、、High school,,"Fernandina Beach, Florida",Female
"Work、、、Smith Honda、、、Service Advisor、、、April 2, 2022 - Present、、、Idaho Falls, Idaho、、、rue21、、、Branch manager、、、February 9, 2017 - Present、、、Idaho Rexburg",Education、、、Madison High School (Idaho)、、、High school、、、Class of 2017,,"Brigham City, Utah",Female
"Work、、、School Of Bright Promise、、、Teacher、、、September 18, 2021 - Present、、、Trinity Hospital Emergency Room.、、、March 15, 2021 - Present、、、Lowe's Home Improvement、、、Head Cashier、、、March 10, 2020 - Present、、、JCPenney、、、January 25, 2019 - Present、、、Piergallini Catering at Lechateau Pier Event Center、、、February 1, 2018 - Present、、、Wells Township Haunted House、、、actor",Education、、、Indian Creek High School、、、High school,,"Wintersville, Ohio",Female
"Work、、、Worsham, Corsi, Dobur & Berss、、、Attorney、、、Cruser & Mitchell、、、Attorney、、、Norcross, Georgia",Education、、、Indiana University (Bloomington)、、、College、、、Milton High School、、、High school,,"Alpharetta, Georgia",Female
,,August 22,"Revere, Massachusetts",Female
"Work、、、Massachusetts Institute of Technology (MIT)、、、May 2, 2018 - Present、、、MIT School of Humanities, Arts, and Social Sciences、、、April 30, 2018 to present、、、AGNI、、、2013 - Present、、、Mortar Magazine、、、Editor、、、The Critical Flame","Education、、、University of Massachusetts、、、Fiction、、、September 1, 2016 - Present、、、Wellesley College、、、English language、、、Class of 2015、、、Massachusetts Institute of Technology (MIT)、、、Media",,"Medway, Massachusetts",Female
"Work、、、Fisher Ferry Vol. Fire Dept.、、、Jr. Firefighter、、、2012 - Present、、、W E Birdsong & Associates Inc、、、September 13, 2021 - February 16, 2023、、、Railroad Center Daycare、、、Child Care Worker、、、September 12, 2018 - September 10, 2021、、、Florence, Mississippi、、、Best place",Education、、、Florence High School、、、College、、、Class of 2019、、、Florence High School、、、High school,,"Vicksburg, Mississippi",Female
"Work、、、Kroger、、、Cashier and Salesperson、、、December 28, 2019 - Present、、、Price Less IGA、、、Cashier、、、November 10, 2013 - January 2014、、、Briggs & Stratton、、、September 2009 - October 10, 2017、、、Murray, Kentucky",Education、、、Murray State University、、、College、、、August 2008 - May 2012,,"Murray, Kentucky",Female
